Product,Price,Actual Price,Rating,Storage
"REDMI 13 5G (Hawaiian Blue, 128 GB)","₹12,120","₹17,999","4.324,883 Ratings & 1,282 Reviews",6 GB RAM | 128 GB ROM17.25 cm (6.79 inch) Full HD+ Display108MP Rear Camera5030 mAh BatteryQualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor1 year manufacture warranty
"vivo T3 Ultra (Frost Green, 128 GB)","₹29,999","₹35,999","4.512,304 Ratings & 1,093 Reviews",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP + 8MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"vivo T3 Ultra (Lunar Gray, 256 GB)","₹31,999","₹37,999","4.512,304 Ratings & 1,093 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP + 8MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
itel it5027,"₹1,039","₹1,499","42,231 Ratings & 135 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) NA Display0.3MP + 0MP | 0MP Front Camera1200 mAh BatteryNA Processor12+1 Months Warranty for device 6 months for accessories 111 Days Replacement
itel it5027,"₹1,049","₹1,499","42,231 Ratings & 135 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) NA Display0.3MP + 0MP | 0MP Front Camera1200 mAh BatteryNA Processor12+1 Months Warranty for device 6 months for accessories 111 Days Replacement
"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)","₹1,35,900","₹1,44,900",4.6545 Ratings & 42 Reviews,"256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"realme C61 (Marble Black, 64 GB)","₹7,699","₹8,999","4.34,620 Ratings & 188 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme 70 TURBO 5G (Turbo Purple, 128 GB)","₹15,178","₹19,999","4.32,550 Ratings & 211 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP Rear Camera5000 mAh BatterySegment's Fastest Dimensity 7300 Energy 5G Chipset Processor12 Months Brand warranty
"OnePlus Nord CE4 lite 5G (ULTRA ORANGE, 256 GB)","₹21,595","₹23,999","4.411,970 Ratings & 578 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year
"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)","₹62,999","₹99,999","4.55,180 Ratings & 392 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 256 GB)","₹21,699","₹23,999","4.411,970 Ratings & 578 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year
"realme C61 (Safari Green, 128 GB)","₹8,199","₹10,999","4.410,720 Ratings & 351 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹24,999","₹31,999","4.548,999 Ratings & 3,371 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"vivo V50 5G (Rose Red, 256 GB)","₹36,999","₹42,999",4.6536 Ratings & 75 Reviews,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories
"realme C61 (Safari Green, 128 GB)","₹8,105","₹10,999","4.410,720 Ratings & 351 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Apple iPhone 16 Pro (Desert Titanium, 128 GB)","₹1,12,900","₹1,19,900","4.71,102 Ratings & 62 Reviews","128 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"vivo T3 Ultra (Frost Green, 256 GB)","₹33,999","₹39,999","4.56,019 Ratings & 509 Reviews",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP + 8MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Apple iPhone 15 (Black, 512 GB)","₹84,999","₹99,900","4.62,47,011 Ratings & 8,985 Reviews","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"realme P1 5G (Peacock Green, 128 GB)","₹14,468","₹20,999","4.488,702 Ratings & 5,229 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Apple iPhone 14 Plus (Starlight, 256 GB)","₹79,900",N/A,"4.685,274 Ratings & 4,753 Reviews","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Nothing Phone (2a) 5G (Special Edition, 256 GB)","₹27,999","₹29,999","4.413,447 Ratings & 1,082 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP Front Camera5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty
"Apple iPhone 14 Plus (Starlight, 512 GB)","₹99,900",N/A,"4.685,274 Ratings & 4,753 Reviews","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Apple iPhone 14 (Starlight, 128 GB)","₹54,999","₹59,900","4.63,10,244 Ratings & 11,674 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"OnePlus Nord N30 5G (Chromatic Gray, 128 GB)","₹18,499","₹24,999",4.158 Ratings & 3 Reviews,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Super HD Display108MP Rear Camera5000 mAh BatteryNo Warranty
"Apple iPhone 15 Plus (Pink, 512 GB)","₹98,999","₹1,09,900","4.641,942 Ratings & 2,385 Reviews","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Apple iPhone 15 (Pink, 512 GB)","₹84,999","₹99,900","4.62,47,011 Ratings & 8,985 Reviews","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Apple iPhone 13 mini (Starlight, 512 GB)","₹94,900",N/A,"4.53,845 Ratings & 330 Reviews",512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.
"Apple iPhone 13 mini (Starlight, 256 GB)","₹64,900","₹74,900","4.53,845 Ratings & 330 Reviews",256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.
"Apple iPhone 13 mini (Starlight, 128 GB)","₹49,900","₹64,900","4.53,845 Ratings & 330 Reviews",128 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹14,999","₹17,999","4.23,989 Ratings & 232 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"Apple iPhone 13 (Starlight, 256 GB)","₹54,999","₹59,900","4.62,87,779 Ratings & 13,785 Reviews",256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.
"Infinix Note 40X 5G (Starlit Black, 256 GB)","₹12,999","₹19,999","4.23,238 Ratings & 204 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display108MP + 2MP + AI Lens | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 6300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"SAMSUNG Galaxy S24+ 5G (Onyx Black, 512 GB)","₹1,04,999","₹1,09,999","4.55,180 Ratings & 392 Reviews",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Infinix Hot 50 5G (Sleek Black, 128 GB)","₹9,499","₹12,999","4.33,490 Ratings & 282 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display48MP + Depth Sensor | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 6300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Apple iPhone 16 Pro Max (Desert Titanium, 1 TB)","₹1,75,900","₹1,84,900",4.6545 Ratings & 42 Reviews,"1 TB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,999","₹17,999","4.23,989 Ratings & 232 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹24,999","₹31,999","4.548,999 Ratings & 3,371 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"vivo V50 5G (Titanium Grey, 256 GB)","₹36,999","₹42,999",4.6536 Ratings & 75 Reviews,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories
"realme 14x 5G (Golden Glow, 128 GB)","₹15,999","₹17,999","4.41,972 Ratings & 99 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme 70 TURBO 5G (Turbo Green, 128 GB)","₹15,063","₹19,999","4.32,550 Ratings & 211 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP Rear Camera5000 mAh BatterySegment's Fastest Dimensity 7300 Energy 5G Chipset Processor12 Months Brand warranty
"CMF by Nothing Phone 1 (Orange, 128 GB)","₹17,499","₹21,999","4.421,404 Ratings & 1,472 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
"OnePlus Nord CE4 (Dark Chrome, 256 GB)","₹24,500","₹26,999","4.519,363 Ratings & 1,112 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5500 mAh BatteryOxygenOS 14.0 ProcessorDomestic Warranty 1 Year For Handset And 6 month For Accessories.
"OnePlus Nord CE4 lite 5G (ULTRA ORANGE, 128 GB)","₹17,199","₹20,999","4.411,970 Ratings & 578 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5500 mAh Battery1 year
"OnePlus Nord CE4 (Celadon Marble, 256 GB)","₹25,990","₹26,999","4.519,363 Ratings & 1,112 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5500 mAh BatteryOxygenOS 14.0 ProcessorDomestic Warranty 1 Year For Handset And 6 month For Accessories.
"realme C61 (Safari Green, 128 GB)","₹8,190","₹10,999","4.410,720 Ratings & 351 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"OnePlus Nord CE4 (Celadon Marble, 128 GB)","₹22,998","₹24,999","4.519,363 Ratings & 1,112 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5500 mAh BatteryOxygenOS 14.0 ProcessorDomestic Warranty 1 Year For Handset And 6 month For Accessories.
"vivo T3 Ultra (Frost Green, 256 GB)","₹33,999","₹39,999","4.56,019 Ratings & 509 Reviews",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP + 8MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"vivo T3 Ultra (Lunar Gray, 256 GB)","₹33,999","₹39,999","4.56,019 Ratings & 509 Reviews",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP + 8MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"SAMSUNG Galaxy M35 5G (Moonlight Blue, 256 GB)","₹22,399","₹27,810",4.3760 Ratings & 52 Reviews,8 GB RAM | 256 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR
"Tecno Spark Go 1 (Magic Skin Green, 64 GB)","₹7,299","₹8,999","4.33,586 Ratings & 177 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T616 Ocra Core Processor1 year Manufacturer Warranty
"vivo T3 Ultra (Lunar Gray, 128 GB)","₹29,999","₹35,999","4.512,304 Ratings & 1,093 Reviews",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP + 8MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"SAMSUNG Galaxy A05 (Silver, 64 GB)","₹7,899","₹12,499",4.4424 Ratings & 24 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 512 GB)","₹1,04,999","₹1,09,999","4.55,180 Ratings & 392 Reviews",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹13,499","₹16,999","4.231,504 Ratings & 2,477 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)","₹16,949","₹25,999",4.3760 Ratings & 52 Reviews,8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹17,800","₹21,999","4.41,60,498 Ratings & 8,240 Reviews",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"Apple iPhone 14 (Purple, 512 GB)","₹84,999","₹89,900","4.63,10,244 Ratings & 11,674 Reviews","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,499","₹15,999","4.113,003 Ratings & 1,063 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"Apple iPhone 14 Plus (Purple, 256 GB)","₹79,900",N/A,"4.685,274 Ratings & 4,753 Reviews","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"IQOO Z9X (Tornado Green, 128 GB)","₹18,600","₹23,000","4.41,562 Ratings & 54 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹24,999","₹31,999","4.548,999 Ratings & 3,371 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"IQOO z9x (Tornado Green, 128 GB)","₹13,647","₹18,999","4.45,604 Ratings & 278 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryQualcomm SM6450 Snapdragon 6 Gen 1 Processor1 Year on Handset and 6 Months on Accessories
"vivo V50 5G (Rose Red, 256 GB)","₹36,999","₹42,999",4.6536 Ratings & 75 Reviews,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories
Jio PRIMA2 4G,"₹3,199","₹4,199",4563 Ratings & 19 Reviews,500 MB RAM | 4 GB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera1800 mAh Battery1 Year MANUFACTURER WARRANTY
"IQOO Z9X (Storm Grey, 128 GB)","₹18,600","₹19,999","4.41,562 Ratings & 54 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Inbox Accessories
"SAMSUNG Galaxy M35 5G (Moonlight Blue, 128 GB)","₹16,940","₹25,999",4.3760 Ratings & 52 Reviews,8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR
"realme 70 TURBO 5G (Turbo Purple, 128 GB)","₹16,404","₹20,999","4.41,889 Ratings & 165 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP Rear Camera5000 mAh BatterySegment's Fastest Dimensity 7300 Energy 5G Chipset Processor12 Months Brand warranty
"Apple iPhone 14 Plus (Purple, 128 GB)","₹69,900",N/A,"4.685,274 Ratings & 4,753 Reviews","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Apple iPhone 13 mini (Midnight, 256 GB)","₹64,900","₹74,900","4.53,845 Ratings & 330 Reviews",256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.
"realme 14x 5G (Crystal Black, 128 GB)","₹15,999","₹17,999","4.41,972 Ratings & 99 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Google Pixel 9 (Porcelain, 256 GB)","₹74,999","₹79,999","4.62,245 Ratings & 237 Reviews",12 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Display50MP + 48MP | 10.5MP Front Camera4700 mAh BatteryGoogle Tensor G4 Processor1 Year Domestic Warranty
"SAMSUNG Galaxy S23 Ultra 5G (Phantom Black, 256 GB)","₹82,990","₹1,49,999","4.64,100 Ratings & 387 Reviews",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 10MP + 12MP + 10MP | 12MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"Apple iPhone 13 mini (Midnight, 128 GB)","₹49,900","₹64,900","4.53,845 Ratings & 330 Reviews",128 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.
"Infinix GT 20 Pro (Mecha Orange, 256 GB)","₹25,999","₹34,999","4.37,630 Ratings & 538 Reviews",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
"Infinix GT 20 Pro (Mecha Blue, 256 GB)","₹25,999","₹34,999","4.37,630 Ratings & 538 Reviews",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
"IQOO Z9X (Tornado Green, 128 GB)","₹15,999","₹19,999","4.41,562 Ratings & 54 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
"Tecno Spark Go 1 (Glittery White, 64 GB)","₹6,876","₹8,599",4.3320 Ratings & 22 Reviews,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T615 Processor1 year Manufacturer Warranty
"Apple iPhone 15 (Blue, 128 GB)","₹64,999","₹69,900","4.62,47,011 Ratings & 8,985 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Apple iPhone 13 (Midnight, 256 GB)","₹54,999","₹59,900","4.62,87,779 Ratings & 13,785 Reviews",256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.
"REDMI A4 5G only on Jio SIM (Sparkle Purple, 128 GB)","₹9,696","₹11,999","4.32,611 Ratings & 159 Reviews",4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year
"Apple iPhone 15 (Blue, 256 GB)","₹74,999","₹79,900","4.62,47,011 Ratings & 8,985 Reviews","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Infinix GT 20 Pro (Mecha Silver, 256 GB)","₹22,999","₹31,999","4.413,477 Ratings & 1,071 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
"Google Pixel 8a (Aloe, 128 GB)","₹37,999","₹52,999","4.33,095 Ratings & 284 Reviews",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
"REDMI 13 5G (Orchid Pink, 128 GB)","₹12,071","₹17,999","4.324,883 Ratings & 1,282 Reviews",6 GB RAM | 128 GB ROM17.25 cm (6.79 inch) Full HD+ Display108MP Rear Camera5030 mAh BatteryQualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor1 year manufacture warranty
"Infinix SMART 9 HD (Coral Gold, 64 GB)","₹6,699","₹8,999",4.2394 Ratings & 35 Reviews,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G50 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Infinix SMART 9 HD (Neo Titanium, 64 GB)","₹6,699","₹8,999",4.2394 Ratings & 35 Reviews,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G50 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
