Product,Price,Actual Price,Rating,Storage
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","₹6,499","₹9,999","4.236,255 Ratings & 2,127 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999","₹27,999","4.41,19,998 Ratings & 8,413 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories
"MOTOROLA g05 (Forest Green, 64 GB)","₹6,999","₹9,999","4.310,235 Ratings & 869 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5200 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"POCO C61 (Ethereal Blue, 64 GB)","₹5,899","₹8,999","4.281,557 Ratings & 3,415 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹24,999","₹27,999","4.41,19,998 Ratings & 8,413 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories
"Motorola g45 5G (Viva Magenta, 128 GB)","₹11,999","₹14,999","4.41,10,078 Ratings & 5,698 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 6s Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹24,999","₹31,999","4.548,999 Ratings & 3,371 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"OnePlus Nord CE4 (Celadon Marble, 128 GB)","₹22,998","₹24,999","4.519,363 Ratings & 1,112 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5500 mAh BatteryOxygenOS 14.0 ProcessorDomestic Warranty 1 Year For Handset And 6 month For Accessories.
"vivo V50 5G (Titanium Grey, 256 GB)","₹36,999","₹42,999",4.6536 Ratings & 75 Reviews,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories
"realme C63 5G Charger in the Box (Starry Gold, 128 GB)","₹10,999","₹12,999","4.44,635 Ratings & 205 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹15,430","₹19,999","4.41,60,498 Ratings & 8,240 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹9,999","₹12,499","4.221,772 Ratings & 1,895 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,172","₹1,599","41,39,561 Ratings & 8,496 Reviews",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES
"Motorola Edge 50 Fusion (Forest Green, 128 GB)","₹20,999","₹25,999","4.51,01,345 Ratings & 6,672 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹9,999","₹12,499","4.221,772 Ratings & 1,895 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 128 GB)","₹12,999","₹16,999","4.51,38,327 Ratings & 4,998 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD Display32MP + 2MP | 8MP Front Camera5100 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"OnePlus Nord CE4 (Dark Chrome, 128 GB)","₹22,595","₹24,999","4.519,363 Ratings & 1,112 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5500 mAh BatteryOxygenOS 14.0 ProcessorDomestic Warranty 1 Year For Handset And 6 month For Accessories.
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹15,865","₹19,999","4.41,60,498 Ratings & 8,240 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
"realme P1 5G (Phoenix Red, 128 GB)","₹13,999","₹20,999","4.488,702 Ratings & 5,229 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Motorola G85 5G (Olive Green, 256 GB)","₹19,999","₹22,999","4.456,465 Ratings & 3,149 Reviews",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories
"realme C61 (Marble Black, 64 GB)","₹7,699","₹8,999","4.34,620 Ratings & 188 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"POCO M6 Plus 5G (Ice Silver, 128 GB)","₹10,999","₹15,999","4.227,912 Ratings & 1,710 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh BatterySnapdragon 4 Gen2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme P1 5G (Feather Blue, 128 GB)","₹13,999","₹20,999","4.488,702 Ratings & 5,229 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Motorola g45 5G (Brilliant Green, 128 GB)","₹11,999","₹14,999","4.41,10,078 Ratings & 5,698 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 6s Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"POCO C61  - Locked with Airtel Prepaid (Diamond Dust Black, 64 GB)","₹5,399","₹8,999","4.281,557 Ratings & 3,415 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C61 (Safari Green, 128 GB)","₹8,199","₹10,999","4.410,720 Ratings & 351 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹15,499","₹19,999","4.465,648 Ratings & 4,763 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹10,999","₹12,999","4.44,635 Ratings & 205 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Motorola g45 5G (Pink Lavender, 128 GB)","₹11,999","₹14,999","4.41,10,078 Ratings & 5,698 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 6s Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"MOTOROLA g05 (Plum Red, 64 GB)","₹6,999","₹9,999","4.310,235 Ratings & 869 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5200 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹11,999","₹17,999","4.26,043 Ratings & 426 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh BatterySnapdragon 4 Gen2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹17,499","₹21,999","4.421,404 Ratings & 1,472 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹24,999","₹31,999","4.548,999 Ratings & 3,371 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"vivo V50 5G (Titanium Grey, 256 GB)","₹36,999","₹42,999",4.6536 Ratings & 75 Reviews,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories
"realme C61 (Marble Black, 128 GB)","₹7,984","₹10,999","4.410,720 Ratings & 351 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"REDMI 13 5G (Hawaiian Blue, 128 GB)","₹13,440","₹19,999","4.25,698 Ratings & 318 Reviews",8 GB RAM | 128 GB ROM17.25 cm (6.79 inch) Display108MP Rear Camera5030 mAh BatteryBrand Warranty
"CMF by Nothing Phone 1 (Blue, 128 GB)","₹15,499","₹19,999","4.465,648 Ratings & 4,763 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
"CMF by Nothing Phone 1 (Orange, 128 GB)","₹15,499","₹19,999","4.465,648 Ratings & 4,763 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
